Source.Name,Open time,Open,Date,Quartile,Month,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
XRPUSDT-1d-2023-09.csv,1.70E+12,0.4993,28-09-2023,Q3,September,0.5102,0.4952,0.5098,247906960,1.70E+12,124424022.7,112462,112647783,56545530.02,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5097,29-09-2023,Q3,September,0.5494,0.5061,0.5215,604996777,1.70E+12,318719390.9,293360,307468655,161922962.2,0
XRPUSDT-1d-2023-09.csv,1.70E+12,0.5215,30-09-2023,Q3,September,0.5218,0.5134,0.5149,144866051,1.70E+12,74870559.53,90666,64164148,33169129.19,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5148,01-10-2023,Q4,October,0.526,0.5137,0.5241,167673504,1.70E+12,87152009.19,93784,80609393,41896257.2,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.524,02-10-2023,Q4,October,0.5266,0.5075,0.5123,319018957,1.70E+12,165774736.4,154104,166196254,86401262.92,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5122,03-10-2023,Q4,October,0.5479,0.5055,0.539,398167814,1.70E+12,206974439.7,201496,203694962,105900255.6,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5391,04-10-2023,Q4,October,0.5426,0.5194,0.5326,422012491,1.70E+12,224478611.1,252846,196513456,104534460.9,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5326,05-10-2023,Q4,October,0.5326,0.5155,0.5227,234313709,1.70E+12,122773047.5,124894,102534761,53727987.31,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5227,06-10-2023,Q4,October,0.5298,0.5169,0.5255,219784262,1.70E+12,114860940.7,108276,108610178,56774850.45,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5255,07-10-2023,Q4,October,0.5258,0.5197,0.5216,63137112,1.70E+12,32985340.12,42699,27457388,14345149.36,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5216,08-10-2023,Q4,October,0.5234,0.5153,0.5174,82864720,1.70E+12,43049947.73,47808,36987080,19218933.55,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5174,09-10-2023,Q4,October,0.5201,0.4875,0.5027,322604658,1.70E+12,162917539.7,168707,163273142,82489936.65,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.5027,10-10-2023,Q4,October,0.5027,0.4917,0.4965,228001743,1.70E+12,113450223.3,105934,120875971,60149312.99,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.4964,11-10-2023,Q4,October,0.4977,0.4788,0.4888,241504648,1.70E+12,117525638.6,120496,118211153,57514805.57,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.4889,12-10-2023,Q4,October,0.4889,0.4729,0.483,259545095,1.70E+12,124638564.3,119543,126255506,60611492.38,0
XRPUSDT-1d-2023-10.csv,1.70E+12,0.4831,13-10-2023,Q4,October,0.4907,0.4786,0.4851,257150898,1.70E+12,124170633.9,111281,138564974,66913667.27,0
